3727.4	[OII]   color='green' ls=':'
3869.81 [NeIII]
4027.33 HeI
4364.4  [OIII]
3751.22 H12
3771.70 H11
3798.99 H10
3836.49 H9
3890.17 H8
3971.20 H7
4069.75 [SII]
4102.87 Hdelt
4341.67 Hgam
4472.84 HeI
4659.40 [FeIII]
4711.37 [ArIV]
4714.46 HeI
4741.49 [ArIV]
4862.7  Hb
4923.30 HeI
4960.3  [OIII]
5008.2  [OIII]
5173	Mgb
5756.24 [NII]
5877.27 HeI
5894	NaD
6302.05 [OI]
6313.85 [SIII]
6365.54 [OI]
6549.9  [NII]
6564.6	Ha
6585.3  [NII]
6679.99 HeI
6718.3  [SII]
6732.7  [SII]
7067.23 HeI
7137.75 [ArIII]
7320.40  [OII]
7322.01  [OII]
7331.68  [OII]
7332.75  [OII]
7753.23 [ArIII]
8600.75 P14
8667.40 P13
8752.87 P12
8865.22 P11
9017.38 P10
9071.39 [SIII]
9231.54 P9
9533.21 [SIII]
9548.59 P8


